time,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,null,null,waist_yaw_joint,null,head_yaw_joint,head_pitch_joint,left_thumb_mcp_roll_joint,left_thumb_mcp_pitch_joint,left_index_mcp_joint,left_middle_mcp_joint,left_ring_mcp_joint,left_pinky_mcp_joint,right_thumb_mcp_roll_joint,right_thumb_mcp_pitch_joint,right_index_mcp_joint,right_middle_mcp_joint,right_ring_mcp_joint,right_pinky_mcp_joint
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736331,0.30651,-1.864843,0.2588,0.155726,1,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.75,0.6,0.55,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736332,0.30651,-1.864843,0.2588,0.155726,1,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.749984,0.599992,0.550003,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736334,0.30651,-1.864843,0.2588,0.155726,1.000001,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.749952,0.599976,0.550008,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736337,0.30651,-1.864843,0.2588,0.155726,1.000002,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.749904,0.599952,0.550016,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736342,0.30651,-1.864843,0.2588,0.155726,1.000004,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.74984,0.59992,0.550027,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736347,0.30651,-1.864843,0.2588,0.155726,1.000005,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.749759,0.59988,0.55004,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736354,0.30651,-1.864843,0.2588,0.155726,1.000008,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.749663,0.599832,0.550056,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736361,0.30651,-1.864843,0.2588,0.155726,1.00001,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.749551,0.599775,0.550075,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.73637,0.30651,-1.864843,0.2588,0.155726,1.000013,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.749422,0.599711,0.550096,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736379,0.30651,-1.864844,0.2588,0.155726,1.000016,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.749278,0.599639,0.55012,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.73639,0.306509,-1.864844,0.2588,0.155727,1.00002,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.749118,0.599559,0.550147,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736402,0.306509,-1.864844,0.258799,0.155727,1.000024,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.748941,0.599471,0.550176,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736415,0.306509,-1.864844,0.258799,0.155727,1.000028,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.748749,0.599374,0.550209,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736429,0.306509,-1.864844,0.258799,0.155727,1.000033,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.74854,0.59927,0.550243,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736444,0.306509,-1.864844,0.258799,0.155727,1.000038,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.748316,0.599158,0.550281,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.73646,0.306509,-1.864844,0.258799,0.155727,1.000043,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.748075,0.599037,0.550321,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736477,0.306509,-1.864845,0.258799,0.155727,1.000049,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.747818,0.598909,0.550364,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736496,0.306509,-1.864845,0.258799,0.155728,1.000055,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.747545,0.598773,0.550409,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736515,0.306508,-1.864845,0.258799,0.155728,1.000062,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.747257,0.598628,0.550457,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736536,0.306508,-1.864845,0.258798,0.155728,1.000069,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.746952,0.598476,0.550508,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736557,0.306508,-1.864845,0.258798,0.155728,1.000076,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.746631,0.598316,0.550561,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.73658,0.306508,-1.864846,0.258798,0.155728,1.000084,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.746294,0.598147,0.550618,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736603,0.306508,-1.864846,0.258798,0.155729,1.000092,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.745941,0.597971,0.550676,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736628,0.306507,-1.864846,0.258798,0.155729,1.0001,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.745572,0.597786,0.550738,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736654,0.306507,-1.864846,0.258797,0.155729,1.000109,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.745187,0.597594,0.550802,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736681,0.306507,-1.864847,0.258797,0.155729,1.000118,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.744786,0.597393,0.550869,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736709,0.306507,-1.864847,0.258797,0.15573,1.000127,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.744369,0.597184,0.550939,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736738,0.306507,-1.864847,0.258797,0.15573,1.000137,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.743936,0.596968,0.551011,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736768,0.306506,-1.864848,0.258797,0.15573,1.000147,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.743487,0.596743,0.551086,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736799,0.306506,-1.864848,0.258796,0.155731,1.000158,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.743021,0.596511,0.551163,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736831,0.306506,-1.864848,0.258796,0.155731,1.000168,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.74254,0.59627,0.551243,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736865,0.306506,-1.864848,0.258796,0.155731,1.00018,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.742043,0.596021,0.551326,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736899,0.306505,-1.864849,0.258796,0.155732,1.000191,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.741529,0.595765,0.551412,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736935,0.306505,-1.864849,0.258795,0.155732,1.000203,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.741,0.5955,0.5515,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.736971,0.306505,-1.86485,0.258795,0.155732,1.000215,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.740455,0.595227,0.551591,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737009,0.306504,-1.86485,0.258795,0.155733,1.000228,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.739893,0.594947,0.551684,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737048,0.306504,-1.86485,0.258795,0.155733,1.000241,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.739316,0.594658,0.551781,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737088,0.306504,-1.864851,0.258794,0.155733,1.000254,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.738722,0.594361,0.55188,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737128,0.306503,-1.864851,0.258794,0.155734,1.000268,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.738112,0.594056,0.551981,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.73717,0.306503,-1.864852,0.258794,0.155734,1.000282,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.737487,0.593743,0.552086,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737213,0.306503,-1.864852,0.258793,0.155734,1.000297,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.736845,0.593422,0.552193,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737258,0.306502,-1.864852,0.258793,0.155735,1.000312,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.736187,0.593094,0.552302,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737303,0.306502,-1.864853,0.258793,0.155735,1.000327,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.735513,0.592757,0.552414,0.3
