Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,-0.005839,88.129982,157.072966,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.012553,0.166357,0.007572,-0.157328,-0.024979,-0.093993,0.003667,-0.093489,-0.194023,0.017053,0.0,0.058339,-0.161276,-0.147116,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.011555,0.166357,0.007563,-0.159335,-0.024988,-0.092929,0.00367,-0.093501,-0.194018,0.017035,0.0,0.058539,-0.161213,-0.147136,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.010437,0.166661,0.007937,-0.161462,-0.024996,-0.092354,0.003978,-0.093474,-0.194343,0.016698,0.0,0.058796,-0.161643,-0.14748,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.009316,0.166965,0.008312,-0.163594,-0.025399,-0.091899,0.004405,-0.093449,-0.19467,0.016375,0.0,0.059386,-0.162207,-0.14803,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.008076,0.167392,0.008685,-0.165901,-0.025804,-0.09157,0.005139,-0.093428,-0.195177,0.016078,0.0,0.060003,-0.163068,-0.148779,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260621,0.27258,0.261309,0.271902,0.261309,0.27258,0.260621,0.273442,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.006773,0.16788,0.009061,-0.168215,-0.026208,-0.091483,0.005994,-0.09327,-0.195747,0.015797,0.0,0.060647,-0.164157,-0.149714,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260621,0.27258,0.261309,0.271902,0.261309,0.27258,0.260621,0.273442,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.005349,0.168551,0.009512,-0.170649,-0.026612,-0.091579,0.007094,-0.093223,-0.196438,0.015539,0.0,0.061324,-0.165407,-0.150904,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260265,0.272087,0.260952,0.271471,0.260952,0.272087,0.260265,0.27295,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.003926,0.169284,0.009963,-0.173202,-0.027289,-0.091678,0.008375,-0.093057,-0.197202,0.015136,0.0,0.062216,-0.166772,-0.152357,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.259909,0.271758,0.260595,0.271122,0.260595,0.271758,0.259909,0.272621,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.002382,0.170138,0.010568,-0.175876,-0.027968,-0.092266,0.0099,-0.147261,-0.19737,0.020396,0.0,0.068783,-0.220119,-0.157215,0.0,0.349008,0.260806,0.275907,0.261494,0.274551,0.261494,0.275993,0.260806,0.277633,0.0,0.349008,0.259552,0.27143,0.260238,0.270773,0.260238,0.27143,0.259552,0.272292,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.000715,0.171054,0.011172,-0.178614,-0.028645,-0.092851,0.011548,-0.149072,-0.19839,0.020155,0.0,0.069979,-0.223899,-0.159185,0.0,0.349008,0.260744,0.275907,0.261494,0.274474,0.261494,0.275895,0.260806,0.277509,0.0,0.349008,0.259196,0.271101,0.259881,0.270424,0.259881,0.271101,0.259196,0.271964,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.000952,0.172092,0.011899,-0.181474,-0.029547,-0.093684,0.013438,-0.133464,-0.199765,0.018129,0.0,0.069599,-0.211404,-0.16038,0.0,0.349008,0.260683,0.275907,0.261494,0.274397,0.261494,0.275796,0.260806,0.277509,0.0,0.349008,0.258839,0.270629,0.259524,0.269972,0.259524,0.270629,0.258839,0.271492,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.00274,0.173253,0.012626,-0.184456,-0.030448,-0.094576,0.015511,-0.118219,-0.201196,0.016024,0.0,0.069274,-0.19946,-0.16171,0.0,0.349008,0.260621,0.275907,0.261494,0.27432,0.261494,0.275698,0.260806,0.277509,0.0,0.349008,0.258332,0.270157,0.259016,0.26952,0.259016,0.270157,0.258332,0.271019,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.004591,0.174474,0.013506,-0.187503,-0.031349,-0.095712,0.017769,-0.106138,-0.202693,0.014263,0.0,0.069297,-0.190816,-0.163421,0.0,0.349008,0.26056,0.275753,0.26134,0.274243,0.26134,0.275599,0.260652,0.277263,0.0,0.349008,0.257825,0.269685,0.258508,0.269069,0.258508,0.269685,0.257825,0.270547,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.006501,0.175818,0.014386,-0.19073,-0.032453,-0.09691,0.020208,-0.096497,-0.204285,0.012616,0.0,0.069754,-0.184722,-0.165543,0.0,0.349008,0.260498,0.275599,0.261186,0.274243,0.261186,0.275599,0.260498,0.277263,0.0,0.349008,0.257318,0.269089,0.258001,0.268473,0.258001,0.269089,0.257318,0.269952,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.008534,0.177222,0.015418,-0.19408,-0.033558,-0.098293,0.022831,-0.088236,-0.205913,0.011127,-0.00587,0.070387,-0.180119,-0.167865,0.0,0.349008,0.260498,0.275476,0.261186,0.274243,0.261186,0.275599,0.260498,0.277263,0.0,0.349008,0.256811,0.268494,0.257493,0.267878,0.257493,0.268494,0.256812,0.269356,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.010686,0.17875,0.01645,-0.197613,-0.034662,-0.099797,0.025637,-0.081298,-0.207652,0.009638,-0.018708,0.071176,-0.176973,-0.170517,0.0,0.349008,0.260252,0.275353,0.26094,0.274096,0.26094,0.275451,0.260252,0.277099,0.0,0.349008,0.256198,0.267898,0.256878,0.267282,0.256857,0.267898,0.256167,0.268761,0.0,0.0,0.0,
