Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,-0.005839,88.129982,157.072966,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.178404,0.075704,0.769082,-1.163132,1.038293,0.395156,-1.512696,0.026796,-0.525639,0.029177,-1.891402,0.402629,0.409296,1.134052,1.499395,0.0,0.598316,0.630529,0.599555,0.627897,0.599555,0.630529,0.548377,0.58116,0.0,0.19974,0.898189,0.941936,0.449685,0.468772,0.299766,0.312868,0.299016,0.313919,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.178404,0.075948,0.769082,-1.163132,1.038293,0.395156,-1.512696,0.026796,-0.525639,0.029482,-1.891402,0.402317,0.409296,1.134052,1.497894,0.0,0.597679,0.629887,0.598916,0.627256,0.598916,0.629887,0.547808,0.580523,0.0,0.19974,0.898189,0.941833,0.449309,0.468207,0.299427,0.312683,0.298646,0.313734,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.17871,0.075948,0.768687,-1.163132,1.038293,0.394907,-1.512444,0.026491,-0.525828,0.029482,-1.890985,0.402317,0.409296,1.134052,1.495229,0.0,0.596657,0.628796,0.59783,0.626101,0.59783,0.628732,0.546793,0.579503,-0.0,0.199372,0.897782,0.941731,0.44862,0.467643,0.299088,0.312127,0.298277,0.313177,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.17871,0.075948,0.768687,-1.163132,1.038293,0.394658,-1.512444,0.026491,-0.526144,0.029787,-1.890985,0.402068,0.409296,1.134269,1.491653,0.0,0.595253,0.62732,0.596361,0.624561,0.596361,0.627192,0.545463,0.578039,-0.0,0.199004,0.897375,0.941183,0.447681,0.466702,0.298378,0.311571,0.297599,0.312621,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.178986,0.076254,0.768423,-1.163132,1.038293,0.394285,-1.512444,0.026247,-0.526587,0.030184,-1.890724,0.401819,0.409296,1.134269,1.487087,0.0,0.593402,0.625459,0.594446,0.622573,0.594446,0.625203,0.54369,0.576256,0.0,0.198421,0.896968,0.940635,0.446493,0.465447,0.297669,0.310644,0.296922,0.311695,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.179261,0.076254,0.768061,-1.163132,1.038293,0.393849,-1.512444,0.026003,-0.527029,0.030581,-1.890464,0.401445,0.409296,1.134631,1.481539,0.0,0.591233,0.623086,0.592148,0.620137,0.592148,0.622766,0.541601,0.574028,-0.0,0.197838,0.896289,0.939882,0.445053,0.463941,0.296619,0.309717,0.295874,0.310768,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.179599,0.076467,0.767699,-1.163132,1.038293,0.393289,-1.512444,0.025667,-0.527598,0.03113,-1.890047,0.401071,0.409296,1.134631,1.475014,-0.0,0.588681,0.620458,0.589468,0.617382,0.589468,0.620009,0.539131,0.571419,-0.0,0.197041,0.89561,0.939129,0.443426,0.462186,0.29557,0.308482,0.294826,0.30947,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.179936,0.076681,0.767238,-1.163132,1.038293,0.392666,-1.512025,0.025331,-0.528294,0.03168,-1.88963,0.400542,0.409203,1.135065,1.467687,0.0,0.585748,0.617382,0.586407,0.61418,0.586407,0.616741,0.536347,0.568494,0.0,0.196244,0.894695,0.938205,0.441487,0.460242,0.294244,0.307247,0.293472,0.308235,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.180395,0.076956,0.766778,-1.163132,1.038574,0.391982,-1.512025,0.024904,-0.528989,0.032351,-1.889109,0.400013,0.409109,1.135065,1.459401,0.0,0.582499,0.613923,0.583029,0.610595,0.583029,0.613219,0.533248,0.565188,0.0,0.195262,0.89378,0.937281,0.439361,0.457985,0.292918,0.305641,0.292117,0.306629,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.180855,0.077231,0.766185,-1.163351,1.038574,0.391235,-1.512025,0.024476,-0.529811,0.033023,-1.888589,0.39939,0.409109,1.13533,1.450248,0.0,0.578868,0.610147,0.57927,0.606628,0.57927,0.609187,0.52977,0.561502,0.0,0.194281,0.892661,0.936187,0.436891,0.455604,0.291253,0.304035,0.290485,0.305085,0.0,0.0,0.0,
