Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,-0.005839,88.129982,157.072966,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.019593,0.166579,0.006287,-0.143193,-0.026247,-0.100448,0.003296,-0.023134,-0.171725,-0.005921,-0.136034,0.025209,-0.104176,0.001709,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.018494,0.166579,0.006287,-0.145396,-0.026247,-0.099287,0.003296,-0.022096,-0.171725,-0.005921,-0.138114,0.025209,-0.103137,0.001709,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.017274,0.166886,0.006668,-0.147722,-0.026247,-0.098615,0.003601,-0.020936,-0.172031,-0.006287,-0.140348,0.025209,-0.102465,0.001404,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.016053,0.167192,0.00705,-0.150048,-0.026643,-0.098065,0.004028,-0.019776,-0.172338,-0.006653,-0.142581,0.025529,-0.101976,0.000916,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.01471,0.167621,0.007431,-0.152557,-0.02704,-0.097637,0.004761,-0.018494,-0.172828,-0.007019,-0.144845,0.02585,-0.10167,0.000244,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,-0.0,0.349008,0.260621,0.27258,0.261309,0.271902,0.261309,0.27258,0.260621,0.273442,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.013306,0.168111,0.007813,-0.155067,-0.027437,-0.097454,0.005615,-0.017152,-0.173379,-0.007385,-0.147232,0.02617,-0.10167,-0.00061,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,-0.0,0.349008,0.260621,0.27258,0.261309,0.271902,0.261309,0.27258,0.260621,0.273442,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.01178,0.168785,0.008271,-0.1577,-0.027834,-0.097454,0.006714,-0.015748,-0.174053,-0.007752,-0.149742,0.026491,-0.10167,-0.001709,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260265,0.272087,0.260952,0.271471,0.260952,0.272087,0.260265,0.27295,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.010254,0.16952,0.008728,-0.160455,-0.028505,-0.097454,0.007996,-0.014283,-0.174788,-0.008271,-0.152251,0.02702,-0.101854,-0.003052,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.259909,0.271758,0.260595,0.271122,0.260595,0.271758,0.259909,0.272621,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.008606,0.170377,0.009339,-0.163334,-0.029177,-0.097943,0.009522,-0.012757,-0.175707,-0.008789,-0.154884,0.027549,-0.102343,-0.004517,-0.0,0.349008,0.260806,0.275907,0.261494,0.274551,0.261494,0.275993,0.260806,0.277633,0.0,0.349008,0.259552,0.27143,0.260238,0.270773,0.260238,0.27143,0.259552,0.272292,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.006836,0.171296,0.009949,-0.166273,-0.029848,-0.098431,0.01117,-0.01117,-0.176688,-0.00943,-0.157578,0.028078,-0.102954,-0.006226,0.0,0.349008,0.260744,0.275907,0.261494,0.274474,0.261494,0.275895,0.260806,0.277509,0.0,0.349008,0.259196,0.271101,0.259881,0.270424,0.259881,0.271101,0.259196,0.271964,0.0,0.0,0.0,
