Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,-0.005839,88.129982,157.072966,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069779,0.11897,-0.602089,-1.361833,-1.293021,0.55363,0.25657,-0.049506,-0.229146,0.570974,-1.415848,1.21493,0.506259,-0.266297,-0.0,0.349008,0.150321,0.15972,0.150745,0.158863,0.150745,0.159782,0.150321,0.160884,0.0,0.349008,0.173784,0.181223,0.174255,0.180916,0.174255,0.181223,0.173784,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069779,0.11897,-0.602089,-1.361195,-1.292639,0.553376,0.257124,-0.049506,-0.2289,0.570974,-1.414964,1.21493,0.505818,-0.266667,0.0,0.349008,0.150321,0.15972,0.150745,0.158863,0.150745,0.159782,0.150321,0.160884,-0.0,0.349008,0.173784,0.181131,0.174255,0.180824,0.174255,0.181131,0.173693,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069779,0.118542,-0.601769,-1.360557,-1.292639,0.552869,0.257678,-0.049506,-0.228593,0.570656,-1.414349,1.21493,0.505439,-0.267406,0.0,0.349008,0.150321,0.15972,0.150745,0.158863,0.150745,0.159782,0.150321,0.160884,0.0,0.349008,0.173519,0.181039,0.173989,0.180732,0.173989,0.181039,0.173603,0.181366,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069779,0.118175,-0.60145,-1.35992,-1.292639,0.552456,0.258417,-0.049506,-0.22804,0.570338,-1.413733,1.21493,0.505061,-0.267837,0.0,0.349008,0.150563,0.159965,0.150989,0.159047,0.150989,0.159965,0.150563,0.161068,-0.0,0.349008,0.173255,0.180651,0.173724,0.180344,0.173724,0.180651,0.173256,0.18108,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069535,0.117809,-0.601002,-1.359282,-1.292983,0.552044,0.258889,-0.049262,-0.22761,0.569893,-1.413118,1.215153,0.504557,-0.268268,0.0,0.349008,0.150563,0.159965,0.150989,0.159047,0.150989,0.159965,0.150563,0.161068,0.0,0.349008,0.17299,0.180262,0.173458,0.179956,0.173458,0.180262,0.172909,0.180794,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069535,0.117319,-0.600491,-1.358645,-1.293327,0.551283,0.259361,-0.049262,-0.227026,0.56932,-1.412395,1.215673,0.503674,-0.268699,0.0,0.349008,0.150685,0.16021,0.151112,0.159292,0.151112,0.160272,0.150685,0.161374,-0.0,0.349008,0.172502,0.179874,0.172969,0.179568,0.172969,0.179874,0.172562,0.180303,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069108,0.11683,-0.599852,-1.358007,-1.293327,0.550712,0.259832,-0.049018,-0.226443,0.568684,-1.411754,1.216194,0.503044,-0.269315,0.0,0.349008,0.150808,0.160333,0.151234,0.159414,0.151234,0.160382,0.150808,0.161484,-0.0,0.349008,0.172013,0.179323,0.172479,0.179016,0.172479,0.179323,0.172012,0.179813,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.068863,0.116188,-0.59915,-1.35737,-1.294054,0.54976,0.260448,-0.048773,-0.225828,0.567985,-1.410952,1.21664,0.502351,-0.269561,0.0,0.349008,0.151052,0.160455,0.151479,0.159537,0.151479,0.160492,0.151052,0.161594,0.0,0.349008,0.171401,0.178771,0.171866,0.178465,0.171866,0.178771,0.171462,0.179139,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.068558,0.115546,-0.598319,-1.356732,-1.294781,0.548999,0.260879,-0.048438,-0.225091,0.567095,-1.410311,1.217384,0.50128,-0.269808,0.0,0.349008,0.151052,0.160578,0.151479,0.159659,0.151479,0.160602,0.151052,0.161704,-0.0,0.349008,0.170789,0.177995,0.171254,0.177709,0.171254,0.177995,0.170698,0.178465,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.068192,0.114996,-0.597361,-1.356105,-1.295355,0.547795,0.261187,-0.048102,-0.22417,0.566205,-1.40967,1.218128,0.500461,-0.270301,-0.0,0.349008,0.151358,0.1607,0.151785,0.159782,0.151785,0.160712,0.151358,0.161815,-0.0,0.349008,0.169994,0.177219,0.170458,0.176953,0.170458,0.177219,0.169934,0.177668,0.0,0.0,0.0,
