time,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,null,null,waist_yaw_joint,null,head_yaw_joint,head_pitch_joint,left_thumb_mcp_roll_joint,left_thumb_mcp_pitch_joint,left_index_mcp_joint,left_middle_mcp_joint,left_ring_mcp_joint,left_pinky_mcp_joint,right_thumb_mcp_roll_joint,right_thumb_mcp_pitch_joint,right_index_mcp_joint,right_middle_mcp_joint,right_ring_mcp_joint,right_pinky_mcp_joint
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106035,-0.829644,0.199345,-1.8675,0.228198,0.176109,0.919797,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.75,0.6,0.55,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106035,-0.829646,0.199345,-1.8675,0.228198,0.176109,0.919797,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.749984,0.599992,0.550003,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106036,-0.829648,0.199345,-1.8675,0.228198,0.176109,0.919798,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.749952,0.599976,0.550008,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106036,-0.829651,0.199344,-1.8675,0.228198,0.176109,0.919799,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.749904,0.599952,0.550016,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106037,-0.829657,0.199343,-1.8675,0.228197,0.176109,0.9198,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.74984,0.59992,0.550027,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106037,-0.829662,0.199342,-1.8675,0.228196,0.176109,0.9198,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.749759,0.59988,0.55004,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106038,-0.82967,0.199341,-1.8675,0.228195,0.176109,0.919803,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.749663,0.599832,0.550056,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106039,-0.829678,0.199339,-1.8675,0.228194,0.176109,0.919804,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.749551,0.599775,0.550075,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.10604,-0.829688,0.199338,-1.8675,0.228193,0.176109,0.919806,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.749422,0.599711,0.550096,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106041,-0.829698,0.199336,-1.8675,0.228192,0.176109,0.919807,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.749278,0.599639,0.55012,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106043,-0.82971,0.199332,-1.8675,0.22819,0.17611,0.91981,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.749118,0.599559,0.550147,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106044,-0.829724,0.19933,-1.8675,0.228187,0.176111,0.919813,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.748941,0.599471,0.550176,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106046,-0.829738,0.199327,-1.8675,0.228185,0.176111,0.919815,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.748749,0.599374,0.550209,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106048,-0.829754,0.199324,-1.8675,0.228183,0.176111,0.919818,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.74854,0.59927,0.550243,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.10605,-0.82977,0.199321,-1.8675,0.228181,0.176111,0.919822,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.748316,0.599158,0.550281,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106052,-0.829788,0.199318,-1.8675,0.228179,0.176111,0.919824,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.748075,0.599037,0.550321,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106054,-0.829807,0.199315,-1.8675,0.228177,0.176112,0.919828,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.747818,0.598909,0.550364,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106056,-0.829828,0.199311,-1.8675,0.228174,0.176113,0.919832,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.747545,0.598773,0.550409,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106059,-0.829849,0.199306,-1.8675,0.228171,0.176113,0.919837,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.747257,0.598628,0.550457,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106061,-0.829873,0.199302,-1.8675,0.228167,0.176113,0.919841,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.746952,0.598476,0.550508,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106064,-0.829896,0.199297,-1.8675,0.228164,0.176114,0.919846,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.746631,0.598316,0.550561,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106067,-0.829922,0.199293,-1.8675,0.228161,0.176114,0.919851,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.746294,0.598147,0.550618,0.3,
