Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8763,-0.000066,0.0,0.0,0.0,-0.005806,87.629982,157.072966,0.0,0.0,-0.185145,0.002808,0.012635,0.360108,-0.174911,0.0,-0.185207,0.0,0.0,0.360108,-0.174911,0.0,0.058787,0.223494,0.027651,-0.309285,-0.000549,-0.149558,-0.035403,0.138543,-0.16462,-0.034182,-0.468396,0.019837,-0.069963,-0.019532,0.349132,0.349132,-0.0,0.001587,-0.0,0.001221,0.0,0.001587,-0.0,0.001953,0.349132,0.349132,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8763,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185145,0.002808,0.012635,0.360108,-0.174911,0.0,-0.185207,0.0,0.0,0.360108,-0.174911,0.0,0.058787,0.223494,0.027651,-0.309285,-0.000549,-0.149558,-0.035403,0.138543,-0.16462,-0.034182,-0.468396,0.019837,-0.069963,-0.019532,0.349132,0.349132,-0.0,0.001587,-0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.349132,0.349132,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8763,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185145,0.002808,0.012635,0.360108,-0.174911,0.0,-0.185207,0.0,0.0,0.360108,-0.174911,0.0,0.059031,0.223494,0.028078,-0.309717,-0.000855,-0.149558,-0.034976,0.138726,-0.164865,-0.034549,-0.468709,0.020112,-0.070238,-0.019898,0.349132,0.349132,-0.0,0.001587,-0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.349132,0.349132,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8763,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185145,0.002808,0.012635,0.360108,-0.174911,0.0,-0.185207,0.0,0.0,0.360108,-0.174911,0.0,0.059398,0.223801,0.028566,-0.310212,-0.00116,-0.149986,-0.034549,0.139032,-0.165109,-0.035037,-0.469086,0.020387,-0.070512,-0.020326,0.349132,0.349132,0.0,0.001587,0.0,0.001221,0.0,0.001587,-0.0,0.001953,0.349132,0.349132,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8763,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185145,0.002808,0.012635,0.360108,-0.174911,0.0,-0.185207,0.0,0.0,0.360108,-0.174911,0.0,0.059886,0.224108,0.029238,-0.310891,-0.00174,-0.150292,-0.033877,0.139399,-0.165416,-0.035709,-0.469651,0.020906,-0.07094,-0.020936,0.34938,0.349132,0.0,0.001587,0.0,0.001221,0.0,0.001587,0.0,0.001953,0.34938,0.349132,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8763,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185145,0.002808,0.012635,0.360108,-0.174911,0.0,-0.185207,0.0,0.0,0.360108,-0.174911,0.0,0.060497,0.224415,0.030092,-0.311818,-0.002319,-0.15066,-0.033023,0.139889,-0.165906,-0.036563,-0.470341,0.021424,-0.07149,-0.021669,0.349628,0.349132,-0.0,0.001587,0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.349628,0.349132,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8763,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185145,0.002808,0.012635,0.360108,-0.174911,0.0,-0.185207,0.0,0.0,0.360108,-0.174911,0.0,0.061291,0.224845,0.03113,-0.312868,-0.003174,-0.151149,-0.031985,0.140501,-0.166457,-0.037601,-0.471157,0.022187,-0.0721,-0.022584,0.349876,0.349132,0.0,0.001587,-0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.349876,0.349132,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8763,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185145,0.002808,0.012635,0.360108,-0.174911,0.0,-0.185207,0.0,0.0,0.360108,-0.174911,0.0,0.062146,0.225337,0.032351,-0.314166,-0.004028,-0.1517,-0.030825,0.141174,-0.167069,-0.038822,-0.472161,0.02295,-0.072833,-0.023622,0.350124,0.349132,-0.0,0.001587,-0.0,0.001221,0.0,0.001587,-0.0,0.001953,0.350124,0.349132,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8763,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185145,0.002808,0.012635,0.360108,-0.174911,0.0,-0.185207,0.0,0.0,0.360108,-0.174911,0.0,0.063184,0.225951,0.033755,-0.315588,-0.005158,-0.152374,-0.029421,0.141969,-0.167804,-0.040226,-0.473229,0.023958,-0.073688,-0.024843,0.35048,0.34938,0.0,0.001587,0.0,0.001221,0.0,0.001587,0.0,0.001953,0.35048,0.349256,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8763,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185145,0.002808,0.012635,0.360108,-0.174911,0.0,-0.185207,0.0,0.0,0.360108,-0.174911,0.0,0.064283,0.226565,0.035342,-0.317256,-0.006287,-0.153108,-0.027895,0.142887,-0.168601,-0.041752,-0.474547,0.024965,-0.074666,-0.026186,0.350837,0.34938,-0.0,0.001587,0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.350837,0.34938,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
