Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,-0.005839,88.129982,157.072966,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.003411,0.166366,0.011261,-0.189251,-0.021309,-0.079659,0.003806,-0.027508,-0.190522,0.00952,-0.136755,0.052657,-0.097149,-0.153648,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.004232,0.166365,0.011238,-0.190914,-0.021333,-0.078763,0.003815,-0.026473,-0.190534,0.00942,-0.138823,0.052736,-0.09609,-0.153611,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.005166,0.166664,0.011599,-0.192682,-0.021354,-0.078364,0.004129,-0.025398,-0.190853,0.008986,-0.140883,0.052863,-0.095526,-0.153892,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.006108,0.166962,0.011961,-0.194464,-0.02177,-0.07808,0.004557,-0.024322,-0.191175,0.008564,-0.142948,0.053321,-0.095093,-0.154357,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.007157,0.167383,0.012323,-0.196399,-0.022187,-0.077931,0.005291,-0.023159,-0.191679,0.008151,-0.144972,0.053793,-0.094872,-0.155013,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260621,0.27258,0.261309,0.271902,0.261309,0.27258,0.260621,0.273442,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.008275,0.167866,0.012687,-0.198349,-0.022603,-0.078021,0.006146,-0.021948,-0.192247,0.00776,-0.147097,0.054299,-0.094964,-0.155857,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260621,0.27258,0.261309,0.271902,0.261309,0.27258,0.260621,0.273442,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.009509,0.168532,0.013129,-0.200409,-0.023018,-0.078299,0.007245,-0.0207,-0.192938,0.00737,-0.149295,0.054818,-0.095078,-0.156946,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.260265,0.272087,0.260952,0.271471,0.260952,0.272087,0.260265,0.27295,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.010736,0.169258,0.013569,-0.202578,-0.023706,-0.078582,0.008524,-0.0194,-0.193692,0.006837,-0.151475,0.055555,-0.095373,-0.158284,0.0,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.0,0.349008,0.259909,0.271758,0.260595,0.271122,0.260595,0.271758,0.259909,0.272621,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.01208,0.170105,0.014165,-0.204862,-0.024395,-0.079359,0.010046,-0.018077,-0.194631,0.006331,-0.153704,0.056331,-0.096003,-0.159751,0.0,0.349008,0.260806,0.275907,0.261494,0.274551,0.261494,0.275993,0.260806,0.277633,0.0,0.349008,0.259552,0.27143,0.260238,0.270773,0.260238,0.27143,0.259552,0.272292,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.013549,0.171013,0.014759,-0.20721,-0.025082,-0.080132,0.011691,-0.016701,-0.195634,0.005709,-0.155979,0.057121,-0.09678,-0.161466,0.0,0.349008,0.260744,0.275907,0.261494,0.274474,0.261494,0.275895,0.260806,0.277509,0.0,0.349008,0.259196,0.271101,0.259881,0.270424,0.259881,0.271101,0.259196,0.271964,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.015014,0.172043,0.015478,-0.209672,-0.025993,-0.081155,0.013576,-0.01522,-0.19676,0.005095,-0.158342,0.058134,-0.097718,-0.163428,0.0,0.349008,0.260683,0.275907,0.261494,0.274397,0.261494,0.275796,0.260806,0.277509,0.0,0.349008,0.258839,0.270629,0.259524,0.269972,0.259524,0.270629,0.258839,0.271492,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.016597,0.173195,0.016197,-0.212251,-0.026902,-0.08224,0.015644,-0.013751,-0.197951,0.004379,-0.160806,0.05918,-0.098867,-0.165516,0.0,0.349008,0.260621,0.275907,0.261494,0.27432,0.261494,0.275698,0.260806,0.277509,0.0,0.349008,0.258332,0.270157,0.259016,0.26952,0.259016,0.270157,0.258332,0.271019,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.018244,0.174406,0.017069,-0.214896,-0.027811,-0.083567,0.017897,-0.012172,-0.199265,0.00367,-0.163305,0.06024,-0.100208,-0.167795,0.0,0.349008,0.26056,0.275753,0.26134,0.274243,0.26134,0.275599,0.260652,0.277263,0.0,0.349008,0.257825,0.269685,0.258508,0.269069,0.258508,0.269685,0.257825,0.270547,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.019944,0.175741,0.017941,-0.21771,-0.028923,-0.084963,0.020329,-0.010486,-0.200704,0.002811,-0.165834,0.061471,-0.101678,-0.170322,0.0,0.349008,0.260498,0.275599,0.261186,0.274243,0.261186,0.275599,0.260498,0.277263,0.0,0.349008,0.257318,0.269089,0.258001,0.268473,0.258001,0.269089,0.257318,0.269952,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.021766,0.177134,0.018966,-0.220643,-0.030035,-0.086543,0.022946,-0.008809,-0.202207,0.001973,-0.168533,0.062742,-0.103336,-0.172973,0.0,0.349008,0.260498,0.275476,0.261186,0.274243,0.261186,0.275599,0.260498,0.277263,0.0,0.349008,0.256811,0.268494,0.257493,0.267878,0.257493,0.268494,0.256812,0.269356,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.023703,0.178651,0.019991,-0.22375,-0.031148,-0.08825,0.025746,-0.007088,-0.203834,0.000991,-0.171262,0.064028,-0.105152,-0.175875,0.0,0.349008,0.260252,0.275353,0.26094,0.274096,0.26094,0.275451,0.260252,0.277099,0.0,0.349008,0.256198,0.267898,0.256878,0.267282,0.256857,0.267898,0.256167,0.268761,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.025706,0.180228,0.02117,-0.226927,-0.032442,-0.090076,0.028727,-0.005243,-0.205527,0.000014,-0.174116,0.065522,-0.107112,-0.178902,0.0,0.349008,0.260252,0.275229,0.26094,0.273948,0.26094,0.275303,0.260252,0.276934,0.0,0.349008,0.255584,0.267175,0.256263,0.266559,0.256222,0.267175,0.255522,0.268042,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.027826,0.181867,0.022348,-0.23028,-0.033737,-0.092027,0.031831,-0.003352,-0.207344,-0.001137,-0.177121,0.067043,-0.109175,-0.182115,0.0,0.349008,0.260068,0.275106,0.260755,0.2738,0.260755,0.275155,0.260109,0.27677,0.0,0.349008,0.254867,0.266451,0.255545,0.265835,0.255586,0.266451,0.254877,0.267324,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.030003,0.183625,0.02374,-0.233808,-0.035031,-0.094104,0.03518,-0.001336,-0.209226,-0.002282,-0.180196,0.068576,-0.111411,-0.185518,0.0,0.349008,0.260068,0.274983,0.260755,0.273652,0.260755,0.275007,0.259965,0.27677,0.0,0.349008,0.25415,0.265728,0.254827,0.265112,0.254848,0.265728,0.254233,0.266605,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.032304,0.185506,0.025194,-0.237464,-0.036508,-0.096301,0.03865,0.000727,-0.211234,-0.003633,-0.183425,0.070136,-0.113751,-0.189108,0.0,0.349008,0.259822,0.27486,0.260509,0.273504,0.260509,0.27486,0.259822,0.276523,0.0,0.349008,0.253433,0.265004,0.254109,0.264388,0.254109,0.265004,0.253434,0.265805,0.0,0.0,0.0,
